date,item,chemin,famille,action,statut,impressions_28j,clics_28j,reference,note
2026-09-09,comp-001,/blog/meilleurs-outils-page-de-vente-en-un-lien,comparison-page,produite,brouillon,,,,
2026-09-09,comp-001,/blog/meilleurs-outils-page-de-vente-en-un-lien,comparison-page,produite,pr,,,https://github.com/faytrixdev/bizko/pull/1,
